date,datatype,station,attributes,value,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
2020-04-13T00:00:00,WESF,GHCND:US1NDCV0004,",,N,",0.0,500.2,2020-03-11,2021-04-09,48.757576,"LANGDON 1.4 ESE, ND US",0.9899,METERS,-98.34205
2020-04-13T00:00:00,PRCP,GHCND:US1NDDC0009,"T,,N,",0.0,405.4,2016-04-25,2021-04-09,46.138933673501,"OAKES 1.6 W, ND US",0.8929,METERS,-98.1202670931816
2020-04-13T00:00:00,PRCP,GHCND:US1NDDC0013,",,N,",0.03,463.6,2018-04-11,2021-04-10,46.069578,"ELLENDALE 7.3 NW, ND US",0.9954,METERS,-98.644094
2020-04-13T00:00:00,SNOW,GHCND:US1NDDC0013,",,N,",1.4,463.6,2018-04-11,2021-04-10,46.069578,"ELLENDALE 7.3 NW, ND US",0.9954,METERS,-98.644094
2020-04-13T00:00:00,WESF,GHCND:US1NDDC0013,",,N,",0.0,463.6,2018-04-11,2021-04-10,46.069578,"ELLENDALE 7.3 NW, ND US",0.9954,METERS,-98.644094
2020-04-13T00:00:00,PRCP,GHCND:US1NDDN0011,",,N,",0.12,741.9,2009-05-05,2021-03-27,47.321148,"KILLDEER 5.4 SW, ND US",0.6053,METERS,-102.847733
2020-04-13T00:00:00,SNOW,GHCND:US1NDDN0011,",,N,",2.9,741.9,2009-05-05,2021-03-27,47.321148,"KILLDEER 5.4 SW, ND US",0.6053,METERS,-102.847733
2020-04-13T00:00:00,WESF,GHCND:US1NDDN0011,",,N,",0.1,741.9,2009-05-05,2021-03-27,47.321148,"KILLDEER 5.4 SW, ND US",0.6053,METERS,-102.847733
2020-04-13T00:00:00,PRCP,GHCND:US1NDFS0009,",,N,",0.0,484.3,2018-05-17,2021-04-08,47.4503030738351,"CARRINGTON 0.3 W, ND US",0.6418,METERS,-99.1308291291745
2020-04-13T00:00:00,SNOW,GHCND:US1NDFS0009,",,N,",0.0,484.3,2018-05-17,2021-04-08,47.4503030738351,"CARRINGTON 0.3 W, ND US",0.6418,METERS,-99.1308291291745
2020-04-13T00:00:00,PRCP,GHCND:US1NDGF0009,"T,,N,",0.0,343.2,2014-05-02,2021-04-09,47.8443948179483,"LARIMORE 4.9 SSE, ND US",0.8457,METERS,-97.581234946847
2020-04-13T00:00:00,PRCP,GHCND:US1NDGF0013,"T,,N,",0.0,255.1,2016-12-01,2021-04-09,47.864983,"GRAND FORKS 3.7 SSE, ND US",0.9937,METERS,-97.050839
2020-04-13T00:00:00,SNOW,GHCND:US1NDGF0013,"T,,N,",0.0,255.1,2016-12-01,2021-04-09,47.864983,"GRAND FORKS 3.7 SSE, ND US",0.9937,METERS,-97.050839
2020-04-13T00:00:00,SNWD,GHCND:US1NDGF0013,"T,,N,",0.0,255.1,2016-12-01,2021-04-09,47.864983,"GRAND FORKS 3.7 SSE, ND US",0.9937,METERS,-97.050839
2020-04-13T00:00:00,WESF,GHCND:US1NDGF0013,"T,,N,",0.0,255.1,2016-12-01,2021-04-09,47.864983,"GRAND FORKS 3.7 SSE, ND US",0.9937,METERS,-97.050839
2020-04-13T00:00:00,PRCP,GHCND:US1NDGF0023,"T,,N,",0.0,347.2,2020-04-03,2021-04-10,47.9053,"LARIMORE 0.4 SE, ND US",0.9866,METERS,-97.6211
2020-04-13T00:00:00,PRCP,GHCND:US1NDGV0001,",,N,",0.21,854.4,2012-03-27,2021-04-10,46.9095039,"BEACH 0.3 SSE, ND US",0.9952,METERS,-104.0049702
2020-04-13T00:00:00,SNOW,GHCND:US1NDGV0001,",,N,",1.7,854.4,2012-03-27,2021-04-10,46.9095039,"BEACH 0.3 SSE, ND US",0.9952,METERS,-104.0049702
2020-04-13T00:00:00,SNWD,GHCND:US1NDGV0001,",,N,",1.5,854.4,2012-03-27,2021-04-10,46.9095039,"BEACH 0.3 SSE, ND US",0.9952,METERS,-104.0049702
2020-04-13T00:00:00,WESF,GHCND:US1NDGV0001,",,N,",0.2,854.4,2012-03-27,2021-04-10,46.9095039,"BEACH 0.3 SSE, ND US",0.9952,METERS,-104.0049702
2020-04-13T00:00:00,PRCP,GHCND:US1NDLM0002,",,N,",0.01,594.7,2011-07-21,2021-04-07,46.355388,"KULM 4.0 NNE, ND US",0.4728,METERS,-98.917698
2020-04-13T00:00:00,SNOW,GHCND:US1NDLM0002,",,N,",0.5,594.7,2011-07-21,2021-04-07,46.355388,"KULM 4.0 NNE, ND US",0.4728,METERS,-98.917698
2020-04-13T00:00:00,SNWD,GHCND:US1NDLM0002,",,N,",0.5,594.7,2011-07-21,2021-04-07,46.355388,"KULM 4.0 NNE, ND US",0.4728,METERS,-98.917698
2020-04-13T00:00:00,WESD,GHCND:US1NDLM0002,",,N,",0.0,594.7,2011-07-21,2021-04-07,46.355388,"KULM 4.0 NNE, ND US",0.4728,METERS,-98.917698
2020-04-13T00:00:00,WESF,GHCND:US1NDLM0002,",,N,",0.0,594.7,2011-07-21,2021-04-07,46.355388,"KULM 4.0 NNE, ND US",0.4728,METERS,-98.917698
2020-04-13T00:00:00,PRCP,GHCND:US1NDLM0003,"T,,N,",0.0,496.2,2011-07-25,2021-04-09,46.4167604,"EDGELEY 5.2 NW, ND US",0.8788,METERS,-98.7875315
2020-04-13T00:00:00,SNOW,GHCND:US1NDLM0003,"T,,N,",0.0,496.2,2011-07-25,2021-04-09,46.4167604,"EDGELEY 5.2 NW, ND US",0.8788,METERS,-98.7875315
2020-04-13T00:00:00,WESF,GHCND:US1NDLM0003,"T,,N,",0.0,496.2,2011-07-25,2021-04-09,46.4167604,"EDGELEY 5.2 NW, ND US",0.8788,METERS,-98.7875315
2020-04-13T00:00:00,PRCP,GHCND:US1NDLM0004,"T,,N,",0.0,427.6,2011-08-01,2021-04-09,46.3444683,"LA MOURE 4.6 ESE, ND US",0.8975,METERS,-98.2020494
2020-04-13T00:00:00,SNOW,GHCND:US1NDLM0004,"T,,N,",0.0,427.6,2011-08-01,2021-04-09,46.3444683,"LA MOURE 4.6 ESE, ND US",0.8975,METERS,-98.2020494
2020-04-13T00:00:00,DAPR,GHCND:US1NDLM0011,",,N,",3.0,422.1,2018-04-26,2021-04-10,46.36345,"VERONA 0.2 SSE, ND US",0.5874,METERS,-98.06921
2020-04-13T00:00:00,MDPR,GHCND:US1NDLM0011,"T,,N,",0.0,422.1,2018-04-26,2021-04-10,46.36345,"VERONA 0.2 SSE, ND US",0.5874,METERS,-98.06921
2020-04-13T00:00:00,PRCP,GHCND:US1NDML0007,",,N,",0.04,579.7,2012-04-19,2021-04-10,47.6252727017546,"GARRISON 2.1 SSW, ND US",0.7075,METERS,-101.437235467792
2020-04-13T00:00:00,PRCP,GHCND:US1NDML0009,",,N,",0.0,592.8,2017-04-02,2020-10-17,47.641929,"GARRISON 5.2 E, ND US",0.5243,METERS,-101.312018
2020-04-13T00:00:00,SNOW,GHCND:US1NDML0009,",,N,",0.0,592.8,2017-04-02,2020-10-17,47.641929,"GARRISON 5.2 E, ND US",0.5243,METERS,-101.312018
2020-04-13T00:00:00,PRCP,GHCND:US1NDMR0002,",,N,",0.03,533.1,2011-03-27,2021-04-10,47.29558,"HAZEN 0.4 SW, ND US",0.9662,METERS,-101.630102
2020-04-13T00:00:00,SNOW,GHCND:US1NDMR0002,",,N,",0.5,533.1,2011-03-27,2021-04-10,47.29558,"HAZEN 0.4 SW, ND US",0.9662,METERS,-101.630102
2020-04-13T00:00:00,SNWD,GHCND:US1NDMR0002,",,N,",0.5,533.1,2011-03-27,2021-04-10,47.29558,"HAZEN 0.4 SW, ND US",0.9662,METERS,-101.630102
2020-04-13T00:00:00,WESD,GHCND:US1NDMR0002,",,N,",0.0,533.1,2011-03-27,2021-04-10,47.29558,"HAZEN 0.4 SW, ND US",0.9662,METERS,-101.630102
2020-04-13T00:00:00,WESF,GHCND:US1NDMR0002,",,N,",0.0,533.1,2011-03-27,2021-04-10,47.29558,"HAZEN 0.4 SW, ND US",0.9662,METERS,-101.630102
2020-04-13T00:00:00,PRCP,GHCND:US1NDMR0007,",,N,",0.01,531.9,2012-08-08,2021-04-10,47.298303413373,"HAZEN 0.4 ESE, ND US",0.9747,METERS,-101.617834704981
2020-04-13T00:00:00,SNOW,GHCND:US1NDMR0007,",,N,",0.4,531.9,2012-08-08,2021-04-10,47.298303413373,"HAZEN 0.4 ESE, ND US",0.9747,METERS,-101.617834704981
2020-04-13T00:00:00,WESF,GHCND:US1NDMR0007,",,N,",0.0,531.9,2012-08-08,2021-04-10,47.298303413373,"HAZEN 0.4 ESE, ND US",0.9747,METERS,-101.617834704981
2020-04-13T00:00:00,PRCP,GHCND:US1NDMT0005,",,N,",0.07,634.3,2012-02-23,2021-04-09,46.6684325784445,"NEW SALEM 13.7 SSE, ND US",0.9403,METERS,-101.277933865786
2020-04-13T00:00:00,SNOW,GHCND:US1NDMT0005,",,N,",1.2,634.3,2012-02-23,2021-04-09,46.6684325784445,"NEW SALEM 13.7 SSE, ND US",0.9403,METERS,-101.277933865786
2020-04-13T00:00:00,PRCP,GHCND:US1NDMT0016,",,N,",0.05,549.6,2019-07-03,2021-04-09,46.805404,"MANDAN 1.7 SSE, ND US",0.7743,METERS,-100.878262
2020-04-13T00:00:00,SNWD,GHCND:US1NDMT0016,",,N,",1.5,549.6,2019-07-03,2021-04-09,46.805404,"MANDAN 1.7 SSE, ND US",0.7743,METERS,-100.878262
2020-04-13T00:00:00,PRCP,GHCND:US1NDOL0004,",,N,",0.03,629.4,2019-11-08,2020-11-03,47.0642,"CENTER 11.3 ESE, ND US",0.5635,METERS,-101.069
2020-04-13T00:00:00,SNOW,GHCND:US1NDOL0004,",,N,",0.4,629.4,2019-11-08,2020-11-03,47.0642,"CENTER 11.3 ESE, ND US",0.5635,METERS,-101.069
2020-04-13T00:00:00,WESF,GHCND:US1NDOL0004,",,N,",0.0,629.4,2019-11-08,2020-11-03,47.0642,"CENTER 11.3 ESE, ND US",0.5635,METERS,-101.069
2020-04-13T00:00:00,PRCP,GHCND:US1NDPM0001,"T,,N,",0.0,287.7,2011-10-31,2021-04-09,48.851105,"CAVALIER 7.9 WNW, ND US",0.922,METERS,-97.77746
2020-04-13T00:00:00,SNOW,GHCND:US1NDPM0001,",,N,",0.1,287.7,2011-10-31,2021-04-09,48.851105,"CAVALIER 7.9 WNW, ND US",0.922,METERS,-97.77746
2020-04-13T00:00:00,PRCP,GHCND:US1NDPM0003,",,N,",0.02,361.2,2020-03-16,2021-04-10,48.8736,"WALHALLA 3.6 SSE, ND US",0.9412,METERS,-97.8869
2020-04-13T00:00:00,SNOW,GHCND:US1NDPM0003,",,N,",0.4,361.2,2020-03-16,2021-04-10,48.8736,"WALHALLA 3.6 SSE, ND US",0.9412,METERS,-97.8869
2020-04-13T00:00:00,WESF,GHCND:US1NDPM0003,",,N,",0.0,361.2,2020-03-16,2021-04-10,48.8736,"WALHALLA 3.6 SSE, ND US",0.9412,METERS,-97.8869
2020-04-13T00:00:00,PRCP,GHCND:US1NDPR0006,",,N,",0.0,476.1,2019-03-01,2021-04-08,48.232831,"TOWNER 11.9 SE, ND US",1.0,METERS,-100.214821
2020-04-13T00:00:00,SNOW,GHCND:US1NDPR0006,",,N,",0.0,476.1,2019-03-01,2021-04-08,48.232831,"TOWNER 11.9 SE, ND US",1.0,METERS,-100.214821
2020-04-13T00:00:00,PRCP,GHCND:US1NDRC0014,"T,,N,",0.0,294.1,2017-06-01,2021-04-10,46.25819,"WAHPETON 1.0 SSE, ND US",0.4546,METERS,-96.59853
2020-04-13T00:00:00,PRCP,GHCND:US1NDRL0007,"T,,N,",0.0,663.5,2018-11-24,2021-04-09,48.9188,"DUNSEITH 7.4 N, ND US",0.9965,METERS,-100.0703
2020-04-13T00:00:00,PRCP,GHCND:US1NDRS0002,",,N,",0.0,334.4,2016-04-18,2021-04-10,46.441025,"LISBON 0.5 ENE, ND US",0.9571,METERS,-97.673593
2020-04-13T00:00:00,PRCP,GHCND:US1NDRV0004,"T,,N,",0.0,529.1,2012-04-01,2021-04-10,48.8213807344437,"TOLLEY 6.4 N, ND US",0.7719,METERS,-101.84938788414
2020-04-13T00:00:00,PRCP,GHCND:US1NDSK0003,"T,,N,",0.0,774.2,2011-06-17,2021-04-10,46.890389,"SOUTH HEART 4.9 WNW, ND US",0.4562,METERS,-103.088601
2020-04-13T00:00:00,SNOW,GHCND:US1NDSK0003,",,N,",0.5,774.2,2011-06-17,2021-04-10,46.890389,"SOUTH HEART 4.9 WNW, ND US",0.4562,METERS,-103.088601
2020-04-13T00:00:00,SNWD,GHCND:US1NDSK0003,",,N,",0.5,774.2,2011-06-17,2021-04-10,46.890389,"SOUTH HEART 4.9 WNW, ND US",0.4562,METERS,-103.088601
2020-04-13T00:00:00,PRCP,GHCND:US1NDSK0012,",,N,",0.18,764.1,2012-10-05,2021-04-10,46.8950229138136,"DICKINSON 1.3 WNW, ND US",0.935,METERS,-102.807566151023
2020-04-13T00:00:00,PRCP,GHCND:US1NDSM0012,"T,,N,",0.0,450.8,2018-04-07,2021-04-10,46.68874,"MONTPELIER 3.3 ESE, ND US",0.9836,METERS,-98.519135
2020-04-13T00:00:00,SNOW,GHCND:US1NDSM0012,"T,,N,",0.0,450.8,2018-04-07,2021-04-10,46.68874,"MONTPELIER 3.3 ESE, ND US",0.9836,METERS,-98.519135
2020-04-13T00:00:00,SNWD,GHCND:US1NDSM0012,",,N,",0.0,450.8,2018-04-07,2021-04-10,46.68874,"MONTPELIER 3.3 ESE, ND US",0.9836,METERS,-98.519135
2020-04-13T00:00:00,PRCP,GHCND:US1NDSM0014,",,N,",0.0,472.4,2020-03-10,2021-04-10,47.215688,"PINGREE 5.4 NW, ND US",0.728,METERS,-98.994444
2020-04-13T00:00:00,PRCP,GHCND:US1NDSM0015,",,N,",0.0,426.4,2020-04-13,2021-04-09,46.90736,"JAMESTOWN 0.8 WSW, ND US",1.0,METERS,-98.715491
2020-04-13T00:00:00,SNOW,GHCND:US1NDSM0015,",,N,",0.0,426.4,2020-04-13,2021-04-09,46.90736,"JAMESTOWN 0.8 WSW, ND US",1.0,METERS,-98.715491
2020-04-13T00:00:00,PRCP,GHCND:US1NDST0001,"T,,N,",0.0,342.9,2012-03-21,2021-04-10,47.580227,"HATTON 9.1 WSW, ND US",0.3718,METERS,-97.633656
2020-04-13T00:00:00,SNOW,GHCND:US1NDST0001,"T,,N,",0.0,342.9,2012-03-21,2021-04-10,47.580227,"HATTON 9.1 WSW, ND US",0.3718,METERS,-97.633656
2020-04-13T00:00:00,PRCP,GHCND:US1NDST0003,",,N,",0.04,422.1,2015-05-07,2021-04-09,47.34041667,"HOPE 5.4 WNW, ND US",0.2259,METERS,-97.8326
2020-04-13T00:00:00,SNOW,GHCND:US1NDST0003,",,N,",0.4,422.1,2015-05-07,2021-04-09,47.34041667,"HOPE 5.4 WNW, ND US",0.2259,METERS,-97.8326
2020-04-13T00:00:00,WESF,GHCND:US1NDST0003,",,N,",0.0,422.1,2015-05-07,2021-04-09,47.34041667,"HOPE 5.4 WNW, ND US",0.2259,METERS,-97.8326
2020-04-13T00:00:00,PRCP,GHCND:US1NDTR0003,",,N,",0.02,266.4,2017-03-17,2021-04-10,47.26978,"GRANDIN 7.1 ENE, ND US",0.9603,METERS,-96.85943
2020-04-13T00:00:00,SNOW,GHCND:US1NDTR0003,",,N,",0.2,266.4,2017-03-17,2021-04-10,47.26978,"GRANDIN 7.1 ENE, ND US",0.9603,METERS,-96.85943
2020-04-13T00:00:00,WESF,GHCND:US1NDTR0003,",,N,",0.0,266.4,2017-03-17,2021-04-10,47.26978,"GRANDIN 7.1 ENE, ND US",0.9603,METERS,-96.85943
2020-04-13T00:00:00,PRCP,GHCND:US1NDTR0005,"T,,N,",0.0,296.3,2018-04-12,2021-04-09,47.441146,"MAYVILLE 4.2 SSE, ND US",0.5658,METERS,-97.303546
2020-04-13T00:00:00,PRCP,GHCND:US1NDWR0020,",,N,",0.0,535.2,2017-07-18,2021-04-10,48.212988,"MINOT 1.6 SSW, ND US",0.8877,METERS,-101.309627
2020-04-13T00:00:00,SNOW,GHCND:US1NDWR0020,",,N,",0.0,535.2,2017-07-18,2021-04-10,48.212988,"MINOT 1.6 SSW, ND US",0.8877,METERS,-101.309627
2020-04-13T00:00:00,PRCP,GHCND:USC00320189,",,7,1500",0.0,617.8,1950-05-25,2021-03-29,48.9975,"AMBROSE 3 N, ND US",0.8717,METERS,-103.4877
2020-04-13T00:00:00,PRCP,GHCND:USC00320382,",,7,0800",0.01,613.9,1893-01-01,2021-04-10,46.0405,"ASHLEY, ND US",0.9452,METERS,-99.3741
2020-04-13T00:00:00,SNOW,GHCND:USC00320382,",,7,",0.1,613.9,1893-01-01,2021-04-10,46.0405,"ASHLEY, ND US",0.9452,METERS,-99.3741
2020-04-13T00:00:00,TMAX,GHCND:USC00320382,",,7,0800",33.0,613.9,1893-01-01,2021-04-10,46.0405,"ASHLEY, ND US",0.9452,METERS,-99.3741
2020-04-13T00:00:00,TMIN,GHCND:USC00320382,",,7,0800",17.0,613.9,1893-01-01,2021-04-10,46.0405,"ASHLEY, ND US",0.9452,METERS,-99.3741
2020-04-13T00:00:00,TOBS,GHCND:USC00320382,",,7,0800",17.0,613.9,1893-01-01,2021-04-10,46.0405,"ASHLEY, ND US",0.9452,METERS,-99.3741
2020-04-13T00:00:00,SNOW,GHCND:USC00320626,"T,,7,",0.0,597.4,1945-06-16,2021-04-08,48.8411,"BELCOURT KEYA RADIO, ND US",0.894,METERS,-99.75138
2020-04-13T00:00:00,SNWD,GHCND:USC00320626,",,7,0700",0.0,597.4,1945-06-16,2021-04-08,48.8411,"BELCOURT KEYA RADIO, ND US",0.894,METERS,-99.75138
2020-04-13T00:00:00,TMAX,GHCND:USC00320626,",,7,0700",35.0,597.4,1945-06-16,2021-04-08,48.8411,"BELCOURT KEYA RADIO, ND US",0.894,METERS,-99.75138
2020-04-13T00:00:00,TMIN,GHCND:USC00320626,",,7,0700",12.0,597.4,1945-06-16,2021-04-08,48.8411,"BELCOURT KEYA RADIO, ND US",0.894,METERS,-99.75138
2020-04-13T00:00:00,TOBS,GHCND:USC00320626,",,7,0700",12.0,597.4,1945-06-16,2021-04-08,48.8411,"BELCOURT KEYA RADIO, ND US",0.894,METERS,-99.75138
2020-04-13T00:00:00,PRCP,GHCND:USC00320817,",,N,",0.04,558.1,2007-08-01,2020-10-02,46.8338,"BISMARCK 2.4 NNW, ND US",0.9462,METERS,-100.7969
2020-04-13T00:00:00,SNOW,GHCND:USC00320817,",,N,",0.6,558.1,2007-08-01,2020-10-02,46.8338,"BISMARCK 2.4 NNW, ND US",0.9462,METERS,-100.7969
2020-04-13T00:00:00,SNWD,GHCND:USC00320817,",,N,",0.5,558.1,2007-08-01,2020-10-02,46.8338,"BISMARCK 2.4 NNW, ND US",0.9462,METERS,-100.7969
2020-04-13T00:00:00,PRCP,GHCND:USC00320818,"T,,7,2400",0.0,503.2,2011-10-24,2021-04-09,46.7716,"BISMARCK WEATHER FORECAST OFFICE, ND US",0.9986,METERS,-100.7591
2020-04-13T00:00:00,SNOW,GHCND:USC00320818,"T,,7,",0.0,503.2,2011-10-24,2021-04-09,46.7716,"BISMARCK WEATHER FORECAST OFFICE, ND US",0.9986,METERS,-100.7591
2020-04-13T00:00:00,SNWD,GHCND:USC00320818,"T,,7,2400",0.0,503.2,2011-10-24,2021-04-09,46.7716,"BISMARCK WEATHER FORECAST OFFICE, ND US",0.9986,METERS,-100.7591
2020-04-13T00:00:00,TMAX,GHCND:USC00320818,",,7,2400",34.0,503.2,2011-10-24,2021-04-09,46.7716,"BISMARCK WEATHER FORECAST OFFICE, ND US",0.9986,METERS,-100.7591
